iter	Passed	Remaining
194	398	1646
195	399	1639
196	400	1632
197	401	1625
198	401	1617
199	402	1610
200	403	1603
201	404	1596
202	405	1591
203	406	1584
204	406	1578
205	407	1571
206	408	1564
207	409	1557
208	409	1551
209	410	1545
210	411	1540
211	412	1534
212	413	1527
213	414	1521
214	415	1515
215	415	1509
216	416	1503
217	417	1497
218	418	1492
219	419	1486
220	419	1480
221	420	1474
222	421	1468
223	422	1462
224	423	1457
225	423	1451
226	424	1446
227	425	1441
228	426	1435
229	427	1430
230	428	1425
231	429	1420
232	430	1415
233	431	1411
234	432	1406
235	432	1401
236	433	1396
237	434	1391
238	435	1386
239	436	1381
240	437	1376
241	437	1371
242	438	1366
243	439	1361
244	440	1356
245	440	1351
246	441	1346
247	442	1341
248	443	1337
249	444	1332
250	445	1328
251	446	1323
252	446	1319
253	447	1315
254	448	1311
255	449	1307
256	450	1303
257	451	1298
258	452	1294
259	453	1289
260	453	1285
261	454	1281
262	455	1277
263	456	1274
264	458	1270
265	458	1266
266	459	1261
267	460	1257
268	461	1253
269	462	1250
270	463	1246
271	463	1241
272	464	1237
273	465	1233
274	466	1228
275	466	1224
276	467	1221
277	468	1217
278	469	1213
279	470	1209
280	471	1205
281	471	1201
282	472	1197
283	473	1193
284	474	1190
285	475	1186
286	476	1182
287	477	1179
288	478	1176
289	478	1172
290	479	1168
291	480	1164
292	481	1161
293	482	1158
294	483	1154
295	483	1150
296	484	1146
297	485	1143
298	485	1139
299	486	1136
300	487	1132
301	488	1129
302	489	1126
303	490	1122
304	490	1118
305	491	1115
306	492	1111
307	493	1108
308	494	1105
309	495	1102
310	496	1099
311	497	1096
312	498	1093
313	499	1090
314	500	1087
315	501	1084
316	501	1081
317	502	1077
318	503	1074
319	503	1070
320	504	1067
321	506	1065
322	507	1062
323	508	1060
324	509	1057
325	510	1054
326	511	1052
327	512	1049
328	513	1047
329	514	1044
330	515	1041
331	516	1039
332	517	1036
333	518	1034
334	519	1031
335	520	1028
336	521	1025
337	522	1022
338	523	1019
339	524	1017
340	524	1014
341	525	1011
342	526	1008
343	527	1005
344	528	1003
345	529	1000
346	530	998
347	531	995
348	532	992
349	532	989
350	533	987
351	534	984
352	535	981
353	536	979
354	537	976
355	538	974
356	539	971
357	540	969
358	541	967
359	542	964
360	543	962
361	544	960
362	545	957
363	546	955
364	547	952
365	548	950
366	549	948
367	550	945
368	551	943
369	552	940
370	553	938
371	554	935
372	555	933
373	556	930
374	556	928
375	557	925
376	558	923
377	559	920
378	560	918
379	561	916
380	562	913
381	563	911
382	564	909
383	565	907
384	566	904
385	567	902
386	568	900
387	569	898
388	570	896
389	571	894
390	572	892
391	573	889
392	574	887
393	575	885
394	577	884
395	578	882
396	579	879
397	580	877
398	581	875
399	582	873
400	583	872
401	584	869
402	585	867
403	586	865
404	587	863
405	588	861
406	589	859
407	590	857
408	591	854
409	592	852
410	593	850
411	594	848
412	595	846
413	596	844
414	597	842
415	598	840
416	599	838
417	600	836
418	601	833
419	602	831
420	603	829
421	604	827
422	604	825
423	605	822
424	606	820
425	607	818
426	608	816
427	609	814
428	610	812
429	611	810
430	611	807
431	612	805
432	613	803
433	614	801
434	615	799
435	616	797
436	617	795
437	617	792
438	618	790
439	619	788
440	620	786
441	621	785
442	622	783
443	623	781
444	624	779
445	625	777
446	626	775
447	628	773
448	629	771
449	630	770
450	630	767
451	631	765
452	632	764
453	633	762
454	634	760
455	635	758
456	636	756
457	637	754
458	638	752
459	639	751
460	641	749
461	642	748
462	643	746
463	644	744
464	645	743
465	647	741
466	648	739
467	649	737
468	650	735
469	651	734
470	652	732
471	653	730
472	654	729
473	655	727
474	656	725
475	657	723
476	658	721
477	659	719
478	660	718
479	661	716
480	662	714
481	663	712
482	663	710
483	664	708
484	665	707
485	667	705
486	668	703
487	668	701
488	669	699
489	670	698
490	671	696
491	672	694
492	673	692
493	673	690
494	674	688
495	675	686
496	676	684
497	677	682
498	678	680
499	678	678
500	679	676
501	680	674
502	681	673
503	682	671
504	683	669
505	683	667
506	684	665
507	685	664
508	686	662
509	687	660
510	688	658
511	688	656
512	689	654
513	690	653
514	691	651
515	692	649
516	693	647
517	693	645
518	694	643
519	695	642
520	696	640
521	697	638
522	698	636
523	698	634
524	699	633
525	700	631
526	701	629
527	702	627
528	703	626
529	704	624
530	704	622
531	705	620
532	706	618
533	707	617
534	708	615
535	709	614
536	710	612
537	711	610
538	711	608
539	712	607
540	713	605
541	714	603
542	715	602
543	716	600
544	717	598
545	717	596
546	718	595
547	719	593
548	720	591
549	721	590
550	722	588
551	723	586
552	723	585
553	724	583
554	725	581
555	726	580
556	727	578
557	728	577
558	729	575
559	730	573
560	731	572
561	731	570
562	732	568
563	733	567
564	734	565
565	735	564
566	736	562
567	737	560
568	738	559
569	739	557
570	740	556
571	741	554
572	742	553
573	743	551
574	744	550
575	745	548
576	746	546
577	746	545
578	747	543
579	748	542
580	749	540
581	750	538
582	751	537
583	752	535
584	752	534
585	753	532
586	754	530
587	755	529
588	756	527
589	756	526
590	757	524
591	758	522
592	759	521
593	760	519
594	761	518
595	762	516
596	763	515
597	763	513
598	764	511
599	765	510
600	766	508
601	767	507
602	767	505
603	768	503
604	769	502
605	770	500
606	770	499
607	772	497
608	772	496
609	773	494
610	774	492
611	775	491
612	775	489
613	776	488
614	777	486
615	778	485
616	779	483
617	779	482
618	780	480
619	781	478
620	782	477
621	782	475
622	783	474
623	784	472
624	785	471
625	786	469
626	787	468
627	787	466
628	788	465
629	789	463
630	790	462
631	791	460
632	793	459
633	794	458
634	794	456
635	795	455
636	796	454
637	797	452
638	799	451
639	799	449
640	800	448
641	801	446
642	802	445
643	803	444
644	804	442
645	805	441
646	805	439
647	806	438
648	807	436
649	808	435
650	809	433
651	810	432
652	811	431
653	812	429
654	812	428
655	813	426
656	814	425
657	815	423
658	816	422
659	817	421
660	818	419
661	819	418
662	820	416
663	821	415
664	822	414
665	822	412
666	823	411
667	824	409
668	825	408
669	826	407
670	827	405
671	828	404
672	829	403
673	830	401
674	831	400
675	831	398
676	832	397
677	833	395
678	834	394
679	835	393
680	836	391
681	836	390
682	837	388
683	838	387
684	839	385
685	839	384
686	840	383
687	841	381
688	842	380
689	843	378
690	844	377
691	844	375
692	845	374
693	846	373
694	846	371
695	847	370
696	848	369
697	849	367
698	850	366
699	851	364
700	851	363
701	852	361
702	853	360
703	854	359
704	855	358
705	856	356
706	857	355
707	857	353
708	858	352
709	859	350
710	860	349
711	860	348
712	861	346
713	862	345
714	863	344
715	864	342
716	865	341
717	866	340
718	867	338
719	868	337
720	869	336
721	869	334
722	870	333
723	871	332
724	872	330
725	873	329
726	873	328
727	874	326
728	875	325
729	876	324
730	877	322
731	877	321
732	878	320
733	879	318
734	880	317
735	881	316
736	882	314
737	882	313
738	883	312
739	884	310
740	885	309
741	886	308
742	887	306
743	887	305
744	888	304
745	889	302
746	890	301
747	890	300
748	891	298
749	892	297
750	893	296
751	894	295
752	895	293
753	895	292
754	896	290
755	897	289
756	898	288
757	899	287
758	900	285
759	900	284
760	901	283
761	902	281
762	903	280
763	903	279
764	904	277
765	905	276
766	906	275
767	907	274
768	908	272
769	908	271
770	909	270
771	910	268
772	911	267
773	911	266
774	913	265
775	913	263
776	914	262
777	915	261
778	916	259
779	916	258
780	917	257
781	918	256
782	919	254
783	920	253
784	921	252
785	921	251
786	922	249
787	923	248
788	924	247
789	925	245
790	926	244
791	927	243
792	928	242
793	929	241
794	930	239
795	931	238
796	932	237
797	933	236
798	934	234
799	934	233
800	935	232
801	936	231
802	937	230
803	938	228
804	939	227
805	939	226
806	940	224
807	941	223
808	942	222
809	942	221
810	943	219
811	944	218
812	945	217
813	946	216
814	947	214
815	947	213
816	948	212
817	949	211
818	950	210
819	951	208
820	952	207
821	952	206
822	953	205
823	954	203
824	955	202
825	956	201
826	957	200
827	958	199
828	958	197
829	959	196
830	960	195
831	961	194
832	962	192
833	963	191
834	964	190
835	965	189
836	965	188
837	966	186
838	967	185
839	968	184
840	969	183
841	970	182
842	971	180
843	971	179
844	972	178
845	973	177
846	974	175
847	975	174
848	976	173
849	976	172
850	977	171
851	978	169
852	979	168
853	979	167
854	980	166
855	981	165
856	982	164
857	983	162
858	984	161
859	985	160
860	985	159
861	986	157
862	987	156
863	988	155
864	989	154
865	989	153
866	990	151
867	991	150
868	992	149
869	993	148
870	994	147
871	995	146
872	995	144
873	996	143
874	997	142
875	998	141
876	998	140
877	999	138
878	1000	137
879	1001	136
880	1002	135
881	1002	134
882	1003	132
883	1004	131
884	1005	130
885	1007	129
886	1008	128
887	1009	127
888	1010	126
889	1011	125
890	1012	123
891	1013	122
892	1014	121
893	1015	120
894	1016	119
895	1017	118
896	1018	116
897	1019	115
898	1019	114
899	1020	113
900	1021	112
901	1022	111
902	1023	109
903	1023	108
904	1024	107
905	1025	106
906	1026	105
907	1027	104
908	1028	102
909	1029	101
910	1029	100
911	1030	99
912	1031	98
913	1032	97
914	1034	96
915	1034	94
916	1035	93
917	1036	92
918	1037	91
919	1038	90
920	1039	89
921	1041	88
922	1042	86
923	1043	85
924	1044	84
925	1045	83
926	1046	82
927	1047	81
928	1048	80
929	1049	79
930	1050	77
931	1052	76
932	1053	75
933	1054	74
934	1055	73
935	1056	72
936	1057	71
937	1059	69
938	1060	68
939	1061	67
940	1061	66
941	1063	65
942	1064	64
943	1065	63
944	1066	62
945	1067	60
946	1068	59
947	1069	58
948	1070	57
949	1071	56
950	1072	55
951	1073	54
952	1074	52
953	1075	51
954	1076	50
955	1077	49
956	1079	48
957	1080	47
958	1080	46
959	1082	45
960	1083	43
961	1084	42
962	1084	41
963	1085	40
964	1086	39
965	1087	38
966	1088	37
967	1089	36
968	1090	34
969	1091	33
970	1092	32
971	1093	31
972	1094	30
973	1095	29
974	1096	28
975	1097	26
976	1098	25
977	1099	24
978	1099	23
979	1100	22
980	1101	21
981	1102	20
982	1103	19
983	1104	17
984	1105	16
985	1106	15
986	1107	14
987	1108	13
988	1109	12
989	1110	11
990	1111	10
991	1112	8
992	1114	7
993	1115	6
994	1116	5
995	1117	4
996	1118	3
997	1118	2
998	1119	1
999	1120	0
